City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
211,Broome,US,42.2506,-75.833,42.6,79,100,10.36,overcast clouds
212,Bethel,US,41.3712,-73.414,49.55,76,0,3.44,clear sky
213,Solnechnyy,RU,50.7214,136.6319,47.82,43,78,9.46,broken clouds
214,Ratnagiri,IN,16.9833,73.3,81.7,75,34,1.45,scattered clouds
215,Georgetown,MY,5.4112,100.3354,85.93,74,20,5.01,light rain
216,Warrington,GB,53.3925,-2.5802,56.32,88,100,8.05,overcast clouds
217,Hovd,MN,48.0056,91.6419,36.39,43,100,1.52,overcast clouds
218,Saint George,US,37.1041,-113.5841,74.95,21,0,4.61,clear sky
219,Chuy,UY,-33.6971,-53.4616,57.61,98,56,5.75,broken clouds
220,San Pedro,PH,14.35,121.0167,87.31,66,40,4.61,scattered clouds
221,Talcahuano,CL,-36.7167,-73.1167,51.48,87,100,5.75,overcast clouds
222,Kjustendil,BG,42.2839,22.6911,46.69,91,0,4.5,clear sky
223,Lima,PE,-12.0432,-77.0282,59.25,84,40,12.66,scattered clouds
224,Kupang,ID,-10.1667,123.5833,91.98,58,20,9.22,few clouds
225,Laguna,US,38.421,-121.4238,75.34,50,0,0.0,clear sky
226,Sturgeon Bay,US,44.8342,-87.377,39.56,60,0,12.66,clear sky
227,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,72.05,65,0,3.6,clear sky
228,Talnakh,RU,69.4865,88.3972,34.21,96,100,15.84,light snow
229,Homa Bay,KE,-0.5273,34.4571,68.61,75,100,3.6,overcast clouds
230,Taseyevo,RU,57.2169,94.8978,39.18,67,97,5.39,overcast clouds
231,Ardatov,RU,55.2421,43.097,40.68,91,87,3.91,overcast clouds
232,Hasaki,JP,35.7333,140.8333,66.6,49,0,11.52,clear sky
233,Saint-Augustin,CA,51.226,-58.6502,49.89,97,100,13.89,overcast clouds
234,San Isidro,PE,-12.1167,-77.05,60.39,85,40,12.66,scattered clouds
235,Nicoya,CR,10.1483,-85.452,75.02,91,24,1.7,few clouds
236,East London,ZA,-33.0153,27.9116,70.74,83,0,21.85,clear sky
237,Takhtamygda,RU,54.1,123.5667,40.91,47,82,7.0,broken clouds
238,Hualmay,PE,-11.0964,-77.6139,60.96,85,72,9.91,broken clouds
239,Saint-Pierre,RE,-21.3393,55.4781,73.9,53,0,4.61,clear sky
240,Belmonte,BR,-15.8631,-38.8828,72.59,85,12,5.86,few clouds
241,Kangaatsiaq,GL,68.3065,-53.4641,30.87,54,100,12.91,overcast clouds
242,Kruisfontein,ZA,-34.0033,24.7314,66.88,77,40,21.23,scattered clouds
243,Vestmannaeyjar,IS,63.4427,-20.2734,43.65,76,100,10.36,overcast clouds
244,Kemijarvi,FI,66.7131,27.4306,30.94,89,96,4.27,overcast clouds
245,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.98,90,100,19.82,overcast clouds
246,Porto Novo,BJ,6.4965,2.6036,74.86,94,42,4.32,light rain
247,Alta Floresta,BR,-9.8756,-56.0861,70.65,94,41,2.17,scattered clouds
